Draw,Date,Winning Number 1,2,3,4,5,6,Bonus Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize
1012,2022-04-23,5,11,18,20,35,45,3,35,4,2,4,2,1,3,0,1,1,13,1861944318,76,53081746,2882,1399797,141514,50000,2324952,5000
1011,2022-04-16,1,9,12,26,35,38,42,"9,12",3,3,3,3,2,1,1,2,0,11,2220348512,76,53561039,2818,1444514,137485,50000,2292065,5000
1010,2022-04-09,9,12,15,25,34,36,3,"15,34",3,3,3,3,1,2,1,2,0,8,3119380079,66,63017780,2781,1495568,136828,50000,2278193,5000
1009,2022-04-02,15,23,29,34,40,44,20,44,1,5,3,3,0,1,2,2,1,15,1702462825,69,61683436,2632,1617081,133476,50000,2232525,5000
1008,2022-03-26,9,11,30,31,41,44,33,11,2,4,4,2,1,1,1,1,2,11,2267377910,97,42854222,2826,1470935,141072,50000,2311009,5000
1007,2022-03-19,8,11,16,19,21,25,40,"8,11,16",5,1,4,2,1,3,2,0,0,9,2718786375,70,58259709,2844,1433960,137134,50000,2256573,5000
1006,2022-03-12,8,11,15,16,17,37,36,8,5,1,4,2,1,4,0,1,0,9,2855602125,65,65898511,2487,1722318,131234,50000,2288458,5000
1005,2022-03-05,8,13,18,24,27,29,17,,3,3,3,3,1,2,3,0,0,12,2061199344,84,49076175,2798,1473338,143067,50000,2349017,5000
1004,2022-02-26,7,15,30,37,39,44,18,39,2,4,4,2,1,1,1,2,1,10,2576251913,68,63143430,2785,1541743,140047,50000,2340772,5000
1003,2022-02-19,1,4,29,39,43,45,31,45,2,4,5,1,2,0,1,1,2,14,1811116822,66,64029383,2649,1595297,133896,50000,2247475,5000
1002,2022-02-12,17,25,33,35,38,45,15,,1,5,5,1,0,1,1,3,1,8,3088449563,85,48446268,3193,1289676,155418,50000,2436676,5000
1001,2022-02-05,6,10,12,14,20,42,15,42,5,1,0,6,2,3,0,0,1,12,2077279594,66,62947867,2761,1504730,140255,50000,2346904,5000
1000,2022-01-29,2,8,19,22,32,42,39,,4,2,1,5,2,1,1,1,1,22,1246819620,109,41941945,4018,1137798,180052,50000,2747686,5000
999,2022-01-22,1,3,9,14,18,28,34,18,5,1,3,3,3,2,1,0,0,16,1513274790,67,60229843,2943,1371186,143217,50000,2369326,5000
998,2022-01-15,13,17,18,20,42,45,41,,4,2,3,3,0,4,0,0,2,12,2076499657,53,78358478,2648,1568354,129576,50000,2227628,5000
997,2022-01-08,4,7,14,16,24,44,20,24,4,2,1,5,2,2,1,0,1,19,1253749560,85,46708317,3692,1075354,155887,50000,2331995,5000
996,2022-01-01,6,11,15,24,32,39,28,39,3,3,3,3,1,2,1,2,0,18,1491185771,86,52018109,3313,1350305,155856,50000,2546181,5000
995,2021-12-25,1,4,13,29,38,39,7,1,3,3,4,2,2,1,1,2,0,7,3447271875,69,58287206,2793,1439964,138372,50000,2269218,5000
994,2021-12-18,1,3,8,24,27,35,28,24,3,3,4,2,3,0,2,1,0,12,1861582063,70,53188059,2803,1328279,137937,50000,2216661,5000
993,2021-12-11,6,14,16,18,24,42,44,,4,2,0,6,1,3,1,0,1,6,3991197063,70,57017101,2732,1460907,132583,50000,2220620,5000
992,2021-12-04,12,20,26,33,44,45,24,"33,44",2,4,2,4,0,2,1,1,2,12,1986955563,58,68515710,2373,1674636,124311,50000,2105282,5000
991,2021-11-27,13,18,25,31,33,44,38,25,2,4,4,2,0,2,1,2,1,8,2904166032,110,35202013,2969,1304218,138068,50000,2226394,5000
990,2021-11-20,2,4,25,26,36,37,28,,2,4,2,4,2,0,2,2,0,14,1740095277,56,72503970,2858,1420652,129113,50000,2169219,5000
989,2021-11-13,17,18,21,27,29,33,26,,3,3,5,1,0,2,3,1,0,4,5826768563,63,61658927,2444,1589408,127891,50000,2158436,5000
988,2021-11-06,2,13,20,30,31,41,27,2,3,3,3,3,1,2,1,1,1,9,2678489375,61,65864493,2663,1508725,129322,50000,2139025,5000
987,2021-10-30,2,4,15,23,29,38,7,,3,3,3,3,2,1,2,1,0,10,2378711625,73,54308485,2968,1335755,140004,50000,2283682,5000
986,2021-10-23,7,10,16,28,41,42,40,,3,3,2,4,2,1,1,0,2,10,2375275125,70,56554170,2793,1417398,133889,50000,2231167,5000
985,2021-10-16,17,21,23,30,34,44,19,23,2,4,3,3,0,1,3,1,1,10,2434752975,62,65450349,2581,1572229,126523,50000,2123240,5000
984,2021-10-09,3,10,23,35,36,37,18,"23,35",2,4,4,2,2,0,1,3,0,7,3453006268,64,62945427,2596,1551814,128129,50000,2149335,5000
983,2021-10-02,13,23,26,31,35,43,15,13,1,5,5,1,0,1,2,2,1,10,2503422225,78,53491928,2640,1580444,131780,50000,2196308,5000
982,2021-09-25,5,7,13,20,21,44,33,,5,1,4,2,2,2,1,0,1,8,3023630672,81,49771699,2931,1375472,139208,50000,2291933,5000
981,2021-09-18,27,36,37,41,43,45,32,,0,6,5,1,0,0,1,2,3,13,1992863193,65,66428774,2824,1528991,136630,50000,2289650,5000
980,2021-09-11,3,13,16,23,24,35,14,16,3,3,4,2,1,2,2,1,0,7,3409443215,70,56824054,2819,1411027,135751,50000,2237534,5000
979,2021-09-04,7,11,16,21,27,33,24,7,4,2,5,1,1,2,2,1,0,14,1606400518,79,47446429,3414,1097911,154980,50000,2403760,5000
978,2021-08-28,1,7,15,32,34,42,8,,3,3,3,3,2,1,0,2,1,10,2373391388,70,56509319,2826,1399736,133915,50000,2217326,5000
977,2021-08-21,2,9,10,14,22,44,16,14,5,1,1,5,3,1,1,0,1,14,1669905911,82,47517648,2474,1574959,125781,50000,2097459,5000
976,2021-08-14,4,12,14,25,35,37,2,,3,3,3,3,1,2,1,2,0,7,3243867215,69,54847997,3085,1226747,142375,50000,2270249,5000
